document_title,version,live_page_url,source_path,duplicates,reviewer,audited,accurate,complete,notes
Active Directory Agent Deployment,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/activedirectory,docs/activitymonitor/10.0/admin/agents/activedirectory.md,,,,,,
Linux Agent Deployment,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/linux,docs/activitymonitor/10.0/admin/agents/linux.md,,,,,,
Multiple Activity Agents Deployment,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/multiple,docs/activitymonitor/10.0/admin/agents/multiple.md,,,,,,
Agents Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/overview,docs/activitymonitor/10.0/admin/agents/overview.md,,,,,,
Active Directory Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/activedirectory,docs/activitymonitor/10.0/admin/agents/properties/activedirectory.md,,,,,,
Additional Properties Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/additionalproperties,docs/activitymonitor/10.0/admin/agents/properties/additionalproperties.md,,,,,,
AD Users Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/adusers,docs/activitymonitor/10.0/admin/agents/properties/adusers.md,,,,,,
API Server Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/apiserver,docs/activitymonitor/10.0/admin/agents/properties/apiserver.md,,,,,,
Archiving Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/archiving,docs/activitymonitor/10.0/admin/agents/properties/archiving.md,,,,,,
Certificate Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/certificate,docs/activitymonitor/10.0/admin/agents/properties/certificate.md,9.0,,,,,
Connection Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/connection,docs/activitymonitor/10.0/admin/agents/properties/connection.md,,,,,,
Dell CEE Options Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/dellceeoptions,docs/activitymonitor/10.0/admin/agents/properties/dellceeoptions.md,,,,,,
Disk Quota Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/diskquota,docs/activitymonitor/10.0/admin/agents/properties/diskquota.md,,,,,,
DNS Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/dns,docs/activitymonitor/10.0/admin/agents/properties/dns.md,,,,,,
Inactivity Alerts Tab,10.0,https://docs.netwrix.com/docs/activitymonitor/10_0/admin/agents/properties/inactivityalerts,docs/activitymonitor/10.0/admin/agents/properties/inactivityalerts.md,,,,,,
